sequence_id,change_point,confidence
10__04_temporal_recency__Medium-P-End,138,0.827742263675824
10__04_temporal_recency__Medium-P-Mid,157,0.7948147890811234
10__04_temporal_recency__Medium-T-Beg,243,0.7418334593608868
10__04_temporal_recency__Medium-T-End,147,0.9173127034374295
10__04_temporal_recency__Medium-T-Mid,58,0.9533855633035232
10__05_stackmath_numerical__High-N-Beg,186,0.8152998502702862
10__05_stackmath_numerical__High-N-End,222,0.8807670379211964
10__05_stackmath_numerical__High-N-Mid,102,0.9626534766097024
10__05_stackmath_numerical__High-P-Beg,97,0.8842459296654674
10__05_stackmath_numerical__High-P-End,248,0.7594804595264829
10__05_stackmath_numerical__High-P-Mid,75,0.7976501090534939
10__05_stackmath_numerical__High-T-Beg,54,0.8433662750351484
10__05_stackmath_numerical__High-T-End,161,0.878789188674072
10__05_stackmath_numerical__High-T-Mid,228,0.7702495161907087
10__05_stackmath_numerical__Low-N-Beg,238,0.7055705811165227
10__05_stackmath_numerical__Low-N-End,200,0.9000348780752538
10__05_stackmath_numerical__Low-N-Mid,51,0.9328011429312595
10__05_stackmath_numerical__Low-P-Beg,54,0.8031568293386233
10__05_stackmath_numerical__Low-P-End,73,0.7853249230864552
10__05_stackmath_numerical__Low-P-Mid,119,0.9477087816992753
10__05_stackmath_numerical__Low-T-Beg,109,0.8299015452229993
10__05_stackmath_numerical__Low-T-End,148,0.9688845472253766
10__05_stackmath_numerical__Low-T-Mid,84,0.8263363043232146
10__05_stackmath_numerical__Medium-N-Beg,80,0.8432848779083139
10__05_stackmath_numerical__Medium-N-End,89,0.7611229875603372
10__05_stackmath_numerical__Medium-N-Mid,224,0.9250465691162277
10__05_stackmath_numerical__Medium-P-Beg,181,0.9248146602863792
10__05_stackmath_numerical__Medium-P-End,231,0.7440144610304921
10__05_stackmath_numerical__Medium-P-Mid,105,0.7388471098462366
10__05_stackmath_numerical__Medium-T-Beg,172,0.9067615544680897
10__05_stackmath_numerical__Medium-T-End,58,0.770107573387475
10__05_stackmath_numerical__Medium-T-Mid,81,0.8385711089604344
10__06_policy_compliance__High-N-Beg,139,0.9102690936986921
10__06_policy_compliance__High-N-End,58,0.8469440219307414
10__06_policy_compliance__High-N-Mid,57,0.7689417534648378
10__06_policy_compliance__High-P-Beg,114,0.9208010155915745
10__06_policy_compliance__High-P-End,244,0.8139169758087851
10__06_policy_compliance__High-P-Mid,238,0.8823260198684245
10__06_policy_compliance__High-T-Beg,104,0.824242790542204
10__06_policy_compliance__High-T-End,56,0.8800618318325543
10__06_policy_compliance__High-T-Mid,123,0.8366655329391539
10__06_policy_compliance__Low-N-Beg,161,0.8072954357443777
10__06_policy_compliance__Low-N-End,170,0.7407531756715642
10__06_policy_compliance__Low-N-Mid,189,0.8001485820801594
10__06_policy_compliance__Low-P-Beg,80,0.9214742544819213
10__06_policy_compliance__Low-P-End,79,0.7634875686928491
10__06_policy_compliance__Low-P-Mid,192,0.8645970187805755
10__06_policy_compliance__Low-T-Beg,203,0.9574146355388573
10__06_policy_compliance__Low-T-End,67,0.9222841570921823
10__06_policy_compliance__Low-T-Mid,91,0.7295684238399041
10__06_policy_compliance__Medium-N-Beg,181,0.8845151521993465
10__06_policy_compliance__Medium-N-End,55,0.9489004991741062
10__06_policy_compliance__Medium-N-Mid,92,0.748740528034904
10__06_policy_compliance__Medium-P-Beg,211,0.7172671146369662
10__06_policy_compliance__Medium-P-End,163,0.8058847565092079
10__06_policy_compliance__Medium-P-Mid,203,0.8142743808246896
10__06_policy_compliance__Medium-T-Beg,173,0.7005050958316428
10__06_policy_compliance__Medium-T-End,201,0.7863160225075196
10__06_policy_compliance__Medium-T-Mid,180,0.9214882211223407
10__07_expert_legal_med__High-N-Beg,96,0.782042066042915
10__07_expert_legal_med__High-N-End,171,0.9435899753636652
10__07_expert_legal_med__High-N-Mid,180,0.8086909234067556
10__07_expert_legal_med__High-P-Beg,185,0.8952674639715034
10__07_expert_legal_med__High-P-End,60,0.9205887361194618
10__07_expert_legal_med__High-P-Mid,114,0.7882924737195054
10__07_expert_legal_med__High-T-Beg,143,0.7849128012178739
10__07_expert_legal_med__High-T-End,89,0.9381008123028394
10__07_expert_legal_med__High-T-Mid,55,0.9799351170940402
10__07_expert_legal_med__Low-N-Beg,150,0.8582542111544197
10__07_expert_legal_med__Low-N-End,219,0.7500721698152962
10__07_expert_legal_med__Low-N-Mid,144,0.8791149833108484
10__07_expert_legal_med__Low-P-Beg,204,0.9292116869300233
10__07_expert_legal_med__Low-P-End,141,0.7921904649344346
10__07_expert_legal_med__Low-P-Mid,173,0.9241671882220533
10__07_expert_legal_med__Low-T-Beg,140,0.7038297692187594
10__07_expert_legal_med__Low-T-End,215,0.787879869246062
10__07_expert_legal_med__Low-T-Mid,85,0.8899781522717134
10__07_expert_legal_med__Medium-N-Beg,64,0.9729026120977284
10__07_expert_legal_med__Medium-N-End,236,0.7815322928494903
10__07_expert_legal_med__Medium-N-Mid,100,0.729832591121208
10__07_expert_legal_med__Medium-P-Beg,129,0.7413639946222859
10__07_expert_legal_med__Medium-P-End,177,0.933470304375301
10__07_expert_legal_med__Medium-P-Mid,199,0.9217302140981919
10__07_expert_legal_med__Medium-T-Beg,147,0.9075974868687108
10__07_expert_legal_med__Medium-T-End,59,0.8694521940042194
10__07_expert_legal_med__Medium-T-Mid,224,0.7588596816019176
11__01_nq_closed_book__High-N-Beg,233,0.7776384761158818
11__01_nq_closed_book__High-N-End,149,0.9231200869224918
11__01_nq_closed_book__High-N-Mid,95,0.9371394775652833
11__01_nq_closed_book__High-P-Beg,88,0.7197203337863552
11__01_nq_closed_book__High-P-End,109,0.7662709882551997
11__01_nq_closed_book__High-P-Mid,68,0.7308483953239485
11__01_nq_closed_book__High-T-Beg,76,0.8273991800634264
11__01_nq_closed_book__High-T-End,197,0.9594084968294196
11__01_nq_closed_book__High-T-Mid,63,0.973782705544138
11__01_nq_closed_book__Low-N-Beg,246,0.7732540610357125
11__01_nq_closed_book__Low-N-End,168,0.8350619810841784
11__01_nq_closed_book__Low-N-Mid,230,0.7109917966699428
11__01_nq_closed_book__Low-P-Beg,210,0.8808247634086026
11__01_nq_closed_book__Low-P-End,135,0.7827122461449942
11__01_nq_closed_book__Low-P-Mid,67,0.9233202385448982
11__01_nq_closed_book__Low-T-Beg,209,0.7533117425770401
11__01_nq_closed_book__Low-T-End,217,0.8523317240202593
11__01_nq_closed_book__Low-T-Mid,94,0.9604593945877693
11__01_nq_closed_book__Medium-N-Beg,223,0.741965216568617
11__01_nq_closed_book__Medium-N-End,131,0.9780999558484217
11__01_nq_closed_book__Medium-N-Mid,60,0.8910434327869514
11__01_nq_closed_book__Medium-P-Beg,186,0.7723273117460584
11__01_nq_closed_book__Medium-P-End,83,0.7009848840045437
11__01_nq_closed_book__Medium-P-Mid,80,0.8268468165601593
11__01_nq_closed_book__Medium-T-Beg,114,0.9128227155519668
11__01_nq_closed_book__Medium-T-End,179,0.790187244064485
11__01_nq_closed_book__Medium-T-Mid,106,0.9345916738059502
11__02_hotpot_citation__High-N-Beg,172,0.7794418112836188
11__02_hotpot_citation__High-N-End,156,0.943123504256137
11__02_hotpot_citation__High-N-Mid,94,0.9810054942919503
11__02_hotpot_citation__High-P-Beg,191,0.9298624607636696
11__02_hotpot_citation__High-P-End,140,0.8928472352298288
11__02_hotpot_citation__High-P-Mid,243,0.8770802844830244
11__02_hotpot_citation__High-T-Beg,213,0.9820949479113488
11__02_hotpot_citation__High-T-End,231,0.9530403074627706
11__02_hotpot_citation__High-T-Mid,139,0.8770717304683522
11__02_hotpot_citation__Low-N-Beg,109,0.8734904980077043
11__02_hotpot_citation__Low-N-End,133,0.7422253306921962
11__02_hotpot_citation__Low-N-Mid,189,0.9343959319147814
11__02_hotpot_citation__Low-P-Beg,117,0.8407172377188543
11__02_hotpot_citation__Low-P-End,230,0.7422635664167999
11__02_hotpot_citation__Low-P-Mid,53,0.8127393255475364
11__02_hotpot_citation__Low-T-Beg,98,0.9162981556348524
11__02_hotpot_citation__Low-T-End,135,0.7737187092422161
11__02_hotpot_citation__Low-T-Mid,247,0.8947309270220933
11__02_hotpot_citation__Medium-N-Beg,92,0.8097235561380998
11__02_hotpot_citation__Medium-N-End,172,0.8561772439382377
11__02_hotpot_citation__Medium-N-Mid,242,0.883835318128027
11__02_hotpot_citation__Medium-P-Beg,78,0.8216459213607467
11__02_hotpot_citation__Medium-P-End,156,0.9429625100708678
11__02_hotpot_citation__Medium-P-Mid,239,0.9045076747685465
11__02_hotpot_citation__Medium-T-Beg,123,0.7373913168968249
11__02_hotpot_citation__Medium-T-End,68,0.9218267494946818
11__02_hotpot_citation__Medium-T-Mid,227,0.8998844123206132
11__03_novelhop_multihop__High-N-Beg,211,0.7481869319403981
11__03_novelhop_multihop__High-N-End,65,0.8221305001270588
11__03_novelhop_multihop__High-N-Mid,135,0.9782255509011438
11__03_novelhop_multihop__High-P-Beg,67,0.8419894818037315
11__03_novelhop_multihop__High-P-End,161,0.7160157090242634
11__03_novelhop_multihop__High-P-Mid,76,0.8186800110047596
11__03_novelhop_multihop__High-T-Beg,224,0.9393904299406515
11__03_novelhop_multihop__High-T-End,91,0.7197226107521498
11__03_novelhop_multihop__High-T-Mid,99,0.9300672923043762
11__03_novelhop_multihop__Low-N-Beg,106,0.9320395863300134
11__03_novelhop_multihop__Low-N-End,221,0.7632784793858992
11__03_novelhop_multihop__Low-N-Mid,53,0.7542065725340241
11__03_novelhop_multihop__Low-P-Beg,121,0.7450674571545968
11__03_novelhop_multihop__Low-P-End,60,0.9442588839165116
11__03_novelhop_multihop__Low-P-Mid,58,0.7284789058358373
11__03_novelhop_multihop__Low-T-Beg,96,0.7216738194431868
11__03_novelhop_multihop__Low-T-End,132,0.8415676266904539
11__03_novelhop_multihop__Low-T-Mid,174,0.8909108846044584
11__03_novelhop_multihop__Medium-N-Beg,236,0.9772685152768246
11__03_novelhop_multihop__Medium-N-End,113,0.7472110346104971
11__03_novelhop_multihop__Medium-N-Mid,91,0.7440402949928031
11__03_novelhop_multihop__Medium-P-Beg,140,0.7530378716868106
11__03_novelhop_multihop__Medium-P-End,219,0.7503829144999243
11__03_novelhop_multihop__Medium-P-Mid,145,0.9034462494731139
11__03_novelhop_multihop__Medium-T-Beg,170,0.737595773468815
11__03_novelhop_multihop__Medium-T-End,77,0.9028174576976271
11__03_novelhop_multihop__Medium-T-Mid,139,0.9227577167727306
11__04_temporal_recency__High-N-Beg,150,0.7795660973616088
11__04_temporal_recency__High-N-End,190,0.9623026128931251
11__04_temporal_recency__High-N-Mid,156,0.9810563403841197
11__04_temporal_recency__High-P-Beg,101,0.7136994593310925
11__04_temporal_recency__High-P-End,151,0.793661883021339
11__04_temporal_recency__High-P-Mid,95,0.7094860905035931
11__04_temporal_recency__High-T-Beg,162,0.8431159834372363
11__04_temporal_recency__High-T-End,233,0.8023274024496868
11__04_temporal_recency__High-T-Mid,76,0.7516204006848868
11__04_temporal_recency__Low-N-Beg,180,0.8583743564842865
11__04_temporal_recency__Low-N-End,127,0.7757888128699457
11__04_temporal_recency__Low-N-Mid,83,0.874637628812502
11__04_temporal_recency__Low-P-Beg,152,0.9596918589429442
11__04_temporal_recency__Low-P-End,135,0.7356151729653257
11__04_temporal_recency__Low-P-Mid,133,0.7520386862366479
11__04_temporal_recency__Low-T-Beg,181,0.8385561810642969
11__04_temporal_recency__Low-T-End,173,0.9257928929957235
11__04_temporal_recency__Low-T-Mid,144,0.7939938507093008
11__04_temporal_recency__Medium-N-Beg,141,0.7535832650410623
11__04_temporal_recency__Medium-N-End,238,0.8112595321239534
11__04_temporal_recency__Medium-N-Mid,131,0.9350535708432597
11__04_temporal_recency__Medium-P-Beg,93,0.9393450082044821
11__04_temporal_recency__Medium-P-End,130,0.7109058154815351
11__04_temporal_recency__Medium-P-Mid,152,0.868136063486909
11__04_temporal_recency__Medium-T-Beg,241,0.743189580307424
11__04_temporal_recency__Medium-T-End,50,0.929900632870853
11__04_temporal_recency__Medium-T-Mid,68,0.7866742323529927
11__05_stackmath_numerical__High-N-Beg,81,0.7602261927745795
11__05_stackmath_numerical__High-N-End,192,0.9377086782931391
11__05_stackmath_numerical__High-N-Mid,91,0.7253463286442468
11__05_stackmath_numerical__High-P-Beg,189,0.897962929311421
11__05_stackmath_numerical__High-P-End,105,0.7250326846561949
11__05_stackmath_numerical__High-P-Mid,235,0.7389979035463815
11__05_stackmath_numerical__High-T-Beg,68,0.7551999364428152
11__05_stackmath_numerical__High-T-End,154,0.9375003141548325
11__05_stackmath_numerical__High-T-Mid,208,0.7110654498532863
11__05_stackmath_numerical__Low-N-Beg,240,0.8982372945434397
11__05_stackmath_numerical__Low-N-End,138,0.9144155488213994
11__05_stackmath_numerical__Low-N-Mid,205,0.7642786291602455
11__05_stackmath_numerical__Low-P-Beg,88,0.8239542180195345
11__05_stackmath_numerical__Low-P-End,65,0.7103514093910095
11__05_stackmath_numerical__Low-P-Mid,81,0.9397902289514214
11__05_stackmath_numerical__Low-T-Beg,87,0.8576908155364055
11__05_stackmath_numerical__Low-T-End,228,0.909438826937748
11__05_stackmath_numerical__Low-T-Mid,95,0.7396229831910148
11__05_stackmath_numerical__Medium-N-Beg,183,0.9354896915366081
11__05_stackmath_numerical__Medium-N-End,143,0.8890111546043746
11__05_stackmath_numerical__Medium-N-Mid,114,0.7201217694850877
11__05_stackmath_numerical__Medium-P-Beg,74,0.7293875558225926
11__05_stackmath_numerical__Medium-P-End,168,0.8684062866028299
11__05_stackmath_numerical__Medium-P-Mid,73,0.8482247073760942
11__05_stackmath_numerical__Medium-T-Beg,105,0.7241559279812417
11__05_stackmath_numerical__Medium-T-End,214,0.9411345141707952
11__05_stackmath_numerical__Medium-T-Mid,214,0.7442375695963395
11__06_policy_compliance__High-N-Beg,214,0.8385564892806266
11__06_policy_compliance__High-N-End,224,0.9425591004582947
11__06_policy_compliance__High-N-Mid,59,0.9495445757412544
11__06_policy_compliance__High-P-Beg,145,0.8455726004427919
11__06_policy_compliance__High-P-End,72,0.9785181049736655
11__06_policy_compliance__High-P-Mid,214,0.9442549840817497
11__06_policy_compliance__High-T-Beg,166,0.8220821487312433
11__06_policy_compliance__High-T-End,238,0.9730567146651381
11__06_policy_compliance__High-T-Mid,231,0.8514466580338559
11__06_policy_compliance__Low-N-Beg,139,0.8725276982183146
11__06_policy_compliance__Low-N-End,56,0.7859832626658195
11__06_policy_compliance__Low-N-Mid,182,0.7835359895943068
11__06_policy_compliance__Low-P-Beg,97,0.936388210623068
11__06_policy_compliance__Low-P-End,123,0.7530895142677648
11__06_policy_compliance__Low-P-Mid,164,0.8514347426093494
11__06_policy_compliance__Low-T-Beg,118,0.7798492199841354
11__06_policy_compliance__Low-T-End,142,0.9530827171702436
11__06_policy_compliance__Low-T-Mid,130,0.7958497041940631
11__06_policy_compliance__Medium-N-Beg,103,0.8308756875799195
11__06_policy_compliance__Medium-N-End,80,0.8320389794006914
11__06_policy_compliance__Medium-N-Mid,57,0.7073225053867161
11__06_policy_compliance__Medium-P-Beg,142,0.9346734392990558
11__06_policy_compliance__Medium-P-End,248,0.8029151964835078
11__06_policy_compliance__Medium-P-Mid,180,0.8923421222192877
11__06_policy_compliance__Medium-T-Beg,247,0.9736304463702146
11__06_policy_compliance__Medium-T-End,199,0.8237165358244429
11__06_policy_compliance__Medium-T-Mid,237,0.7767723027705935
11__07_expert_legal_med__High-N-Beg,242,0.8345940403651371
11__07_expert_legal_med__High-N-End,66,0.809357739351758
11__07_expert_legal_med__High-N-Mid,246,0.837754140679899
11__07_expert_legal_med__High-P-Beg,52,0.938961785765794
11__07_expert_legal_med__High-P-End,122,0.7326365683339121
11__07_expert_legal_med__High-P-Mid,214,0.7715139009956841
11__07_expert_legal_med__High-T-Beg,57,0.7545566467987526
11__07_expert_legal_med__High-T-End,199,0.9580557307191273
11__07_expert_legal_med__High-T-Mid,201,0.7420229787633951
11__07_expert_legal_med__Low-N-Beg,234,0.9866065940838273
11__07_expert_legal_med__Low-N-End,200,0.9569621172280596
11__07_expert_legal_med__Low-N-Mid,195,0.8840965611205527
11__07_expert_legal_med__Low-P-Beg,66,0.9292611737922888
11__07_expert_legal_med__Low-P-End,186,0.902682197562551
11__07_expert_legal_med__Low-P-Mid,188,0.8933388601579091
11__07_expert_legal_med__Low-T-Beg,247,0.7204837763025038
11__07_expert_legal_med__Low-T-End,241,0.9890861084029257
11__07_expert_legal_med__Low-T-Mid,230,0.9022605663509178
11__07_expert_legal_med__Medium-N-Beg,115,0.7913350823103087
11__07_expert_legal_med__Medium-N-End,68,0.9372734725167958
11__07_expert_legal_med__Medium-N-Mid,153,0.8920959599923622
11__07_expert_legal_med__Medium-P-Beg,117,0.9485640316825592
11__07_expert_legal_med__Medium-P-End,96,0.9884148860095368
11__07_expert_legal_med__Medium-P-Mid,197,0.8054872512547331
11__07_expert_legal_med__Medium-T-Beg,197,0.7217685287846828
11__07_expert_legal_med__Medium-T-End,128,0.770972742024719
11__07_expert_legal_med__Medium-T-Mid,65,0.9160417716437421
12__01_nq_closed_book__Low-N-Beg,160,0.9255659018011353
12__01_nq_closed_book__Low-N-End,144,0.9330983473170826
12__01_nq_closed_book__Low-N-Mid,186,0.7173463542752608
12__01_nq_closed_book__Low-P-Beg,151,0.8074850961885864
12__01_nq_closed_book__Low-P-End,213,0.8794149091633353
12__01_nq_closed_book__Low-P-Mid,217,0.9750876564243163
12__01_nq_closed_book__Low-T-Beg,129,0.8880502327099438
12__01_nq_closed_book__Low-T-End,122,0.9883444329931634
12__01_nq_closed_book__Low-T-Mid,237,0.9120860589808529
12__01_nq_closed_book__Medium-N-Beg,238,0.794761427574165
12__01_nq_closed_book__Medium-N-End,83,0.8286631840900338
12__01_nq_closed_book__Medium-N-Mid,76,0.8105738119002063
12__02_hotpot_citation__High-N-Beg,230,0.9036741206890653
12__02_hotpot_citation__High-N-End,95,0.9352905984522603
12__02_hotpot_citation__High-N-Mid,212,0.9066120789257338
12__02_hotpot_citation__High-P-Beg,178,0.9825427406666025
12__02_hotpot_citation__High-P-End,208,0.8728331176836546
12__02_hotpot_citation__High-P-Mid,166,0.7702570535588037
12__02_hotpot_citation__High-T-Beg,149,0.9191952594765501
12__02_hotpot_citation__High-T-End,112,0.9084651334301485
12__02_hotpot_citation__High-T-Mid,153,0.87634221520514
12__02_hotpot_citation__Low-N-Beg,169,0.9018376990232262
12__02_hotpot_citation__Low-N-End,203,0.8942625666751289
12__02_hotpot_citation__Low-N-Mid,176,0.73030166048001
12__02_hotpot_citation__Low-P-Beg,113,0.960744611071238
12__02_hotpot_citation__Low-P-End,184,0.7444734495138915
12__02_hotpot_citation__Low-P-Mid,181,0.8991928473274191
12__02_hotpot_citation__Low-T-Beg,80,0.7183489675136004
12__02_hotpot_citation__Low-T-End,149,0.8962323399317071
12__02_hotpot_citation__Low-T-Mid,192,0.8624345110715013
12__02_hotpot_citation__Medium-N-Beg,219,0.9402569133871684
12__02_hotpot_citation__Medium-N-End,144,0.8286543860720981
12__02_hotpot_citation__Medium-N-Mid,118,0.895155110890316
12__02_hotpot_citation__Medium-P-Beg,185,0.7822976332547169
12__02_hotpot_citation__Medium-P-End,158,0.9299407382713308
12__02_hotpot_citation__Medium-P-Mid,235,0.8682448128741032
12__02_hotpot_citation__Medium-T-Beg,179,0.7303339145145271
12__02_hotpot_citation__Medium-T-End,67,0.7966004687218265
12__02_hotpot_citation__Medium-T-Mid,120,0.9827316463899447
12__03_novelhop_multihop__High-N-Beg,147,0.7411005429344621
12__03_novelhop_multihop__High-N-End,224,0.7751615482029224
12__03_novelhop_multihop__High-N-Mid,171,0.7783103358393764
12__03_novelhop_multihop__High-P-Beg,74,0.801499434932159
12__03_novelhop_multihop__High-P-End,193,0.9454751993892444
12__03_novelhop_multihop__High-P-Mid,240,0.8578036300856282
12__03_novelhop_multihop__High-T-Beg,90,0.7841429504733791
12__03_novelhop_multihop__High-T-End,163,0.7320068971486169
12__03_novelhop_multihop__High-T-Mid,195,0.9491820047262712
12__03_novelhop_multihop__Low-N-Beg,139,0.7938583730164875
12__03_novelhop_multihop__Low-N-End,162,0.9884342507376391
12__03_novelhop_multihop__Low-N-Mid,70,0.7941397070005601
12__03_novelhop_multihop__Low-P-Beg,85,0.8635170268752093
12__03_novelhop_multihop__Low-P-End,245,0.970706126732346
12__03_novelhop_multihop__Low-P-Mid,144,0.7645226913697291
12__03_novelhop_multihop__Low-T-Beg,240,0.9313472990080423
12__03_novelhop_multihop__Low-T-End,150,0.736295988072522
12__03_novelhop_multihop__Low-T-Mid,126,0.8371381045361528
12__03_novelhop_multihop__Medium-N-Beg,139,0.983333164265813
12__03_novelhop_multihop__Medium-N-End,136,0.7510471123265952
12__03_novelhop_multihop__Medium-N-Mid,92,0.7340903001372628
12__03_novelhop_multihop__Medium-P-Beg,161,0.7067236512992034
12__03_novelhop_multihop__Medium-P-End,163,0.8130066121132147
12__03_novelhop_multihop__Medium-P-Mid,223,0.7559622779506525
12__03_novelhop_multihop__Medium-T-Beg,128,0.733649004880448
12__03_novelhop_multihop__Medium-T-End,136,0.7725478377062446
12__03_novelhop_multihop__Medium-T-Mid,83,0.7242487380152385
12__04_temporal_recency__High-N-Beg,89,0.9095019754205018
12__04_temporal_recency__High-N-End,213,0.7421393260538773
