pair_key,feature_1,feature_2,n_people_strong,avg_abs_rho,avg_rho
evid_overlap_ngram||gold_available,evid_overlap_ngram,gold_available,2,0.7473151010182106,-0.024999982503595364
evid_overlap_ngram||gold_found,evid_overlap_ngram,gold_found,2,0.7473151010182106,-0.024999982503595364
chunk_hallu_score||interference_score_lexical_wrt_distractors,interference_score_lexical_wrt_distractors,chunk_hallu_score,2,0.7374465575703966,-0.7374465575703966
hallucination_score||interference_score_lexical_wrt_distractors,interference_score_lexical_wrt_distractors,hallucination_score,2,0.7374465575703966,0.7374465575703966
chunk_hallu_score||interference_token_hits,interference_token_hits,chunk_hallu_score,2,0.7303593070647552,-0.016158024264742943
hallucination_score||interference_token_hits,interference_token_hits,hallucination_score,2,0.7303593070647552,0.016158024264742943
gold_available||hallu_score,hallu_score,gold_available,1,0.9963167462326072,-0.9963167462326072
gold_found||hallu_score,hallu_score,gold_found,1,0.9963167462326072,-0.9963167462326072
chunk_hallu_score||total_response_tokens,total_response_tokens,chunk_hallu_score,1,0.9624369535288942,0.9624369535288942
hallucination_score||total_response_tokens,total_response_tokens,hallucination_score,1,0.9624369535288942,-0.9624369535288942
evidence_overlap_emb||total_response_tokens,total_response_tokens,evidence_overlap_emb,1,0.9553515281041418,0.9553515281041418
evid_overlap_emb||total_response_tokens,evid_overlap_emb,total_response_tokens,1,0.9553515281041417,0.9553515281041417
evidence_overlap_ratio||total_response_tokens,evidence_overlap_ratio,total_response_tokens,1,0.9553515281041417,0.9553515281041417
gold_len||hallu_score,hallu_score,gold_len,1,0.8878505204778577,-0.8878505204778577
evid_overlap_emb||interference_token_hits,evid_overlap_emb,interference_token_hits,1,0.7890382626680454,-0.7890382626680454
evidence_overlap_emb||interference_token_hits,interference_token_hits,evidence_overlap_emb,1,0.7890382626680454,-0.7890382626680454
evidence_overlap_ratio||interference_token_hits,evidence_overlap_ratio,interference_token_hits,1,0.7890382626680454,-0.7890382626680454
gold_len||resp_len,resp_len,gold_len,1,0.7843462468718173,-0.7843462468718173
att_avg_entropy||resp_len,att_avg_entropy,resp_len,1,0.7771929824561404,0.7771929824561404
att_avg_entropy||evid_overlap_ngram,evid_overlap_ngram,att_avg_entropy,1,0.7712959210611777,-0.7712959210611777
dist_len||resp_len,resp_len,dist_len,1,0.7592160508581298,-0.7592160508581298
evid_overlap_ngram||resp_len,evid_overlap_ngram,resp_len,1,0.7541688963633573,-0.7541688963633573
chunk_hallu_score||dist_len,chunk_hallu_score,dist_len,1,0.7412175393374956,-0.7412175393374956
dist_len||hallucination_score,hallucination_score,dist_len,1,0.7412175393374956,0.7412175393374956
interference_score_lexical_wrt_distractors||total_response_tokens,interference_score_lexical_wrt_distractors,total_response_tokens,1,0.7400525690199071,0.7400525690199071
resp_len||seq_len,seq_len,resp_len,1,0.7283355958523242,-0.7283355958523242
distractor_attention_max||hallu_score,hallu_score,distractor_attention_max,1,0.7254901960784313,0.7254901960784313
distractor_attention_max||resp_len,distractor_attention_max,resp_len,1,0.7254901960784313,0.7254901960784313
chunk_hallu_score||seq_len,chunk_hallu_score,seq_len,1,0.7250771239080358,-0.7250771239080358
hallucination_score||seq_len,hallucination_score,seq_len,1,0.7250771239080358,0.7250771239080358
evid_overlap_ngram||gold_len,evid_overlap_ngram,gold_len,1,0.7223151185146153,0.7223151185146153
chunk_hallu_score||gold_available,chunk_hallu_score,gold_available,1,0.7219415394265207,0.7219415394265207
chunk_hallu_score||gold_found,chunk_hallu_score,gold_found,1,0.7219415394265207,0.7219415394265207
chunk_hallu_score||gold_len,chunk_hallu_score,gold_len,1,0.7219415394265207,0.7219415394265207
gold_available||hallucination_score,hallucination_score,gold_available,1,0.7219415394265207,-0.7219415394265207
gold_found||hallucination_score,hallucination_score,gold_found,1,0.7219415394265207,-0.7219415394265207
gold_len||hallucination_score,hallucination_score,gold_len,1,0.7219415394265207,-0.7219415394265207
dist_len||hallu_score,hallu_score,dist_len,1,0.7189855601402825,0.7189855601402825
distractor_attention_max||evid_overlap_emb,evid_overlap_emb,distractor_attention_max,1,0.7165721140782562,-0.7165721140782562
distractor_attention_max||evidence_overlap_emb,distractor_attention_max,evidence_overlap_emb,1,0.7165721140782562,-0.7165721140782562
distractor_attention_max||evidence_overlap_ratio,evidence_overlap_ratio,distractor_attention_max,1,0.7165721140782562,-0.7165721140782562
cross_attention_mass_to_gold_raw||evid_overlap_ngram,evid_overlap_ngram,cross_attention_mass_to_gold_raw,1,0.7152541951605781,0.7152541951605781
chunk_hallu_score||cross_attention_mass_to_gold_raw,chunk_hallu_score,cross_attention_mass_to_gold_raw,1,0.7148842679596449,0.7148842679596449
cross_attention_mass_to_gold_raw||hallucination_score,hallucination_score,cross_attention_mass_to_gold_raw,1,0.7148842679596449,-0.7148842679596449
att_avg_entropy||chunk_hallu_score,att_avg_entropy,chunk_hallu_score,1,0.7110423116615068,-0.7110423116615068
att_avg_entropy||hallucination_score,att_avg_entropy,hallucination_score,1,0.7110423116615068,0.7110423116615068
